2023-03-23 22:36:53,399 - This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
2023-03-23 22:37:17,216 - This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
2023-03-23 22:37:27,365 - 'p'
2023-03-23 22:37:27,608 - 'a'
2023-03-23 22:37:27,828 - 's'
2023-03-23 22:37:27,970 - 's'
2023-03-23 22:37:28,181 - 'w'
2023-03-23 22:37:28,890 - 'o'
2023-03-23 22:37:29,058 - 'r'
2023-03-23 22:37:29,296 - 'd'
2023-03-23 22:37:36,312 - Key.enter
2023-03-23 22:37:38,214 - 'l'
2023-03-23 22:37:38,327 - 's'
2023-03-23 22:37:39,051 - Key.enter
2023-03-23 22:37:41,898 - 'c'
2023-03-23 22:37:42,018 - 'a'
2023-03-23 22:37:42,165 - 't'
2023-03-23 22:37:43,150 - Key.space
2023-03-23 22:37:43,327 - 'k'
2023-03-23 22:37:43,440 - 'e'
2023-03-23 22:37:43,629 - 'y'
2023-03-23 22:37:44,396 - 'l'
2023-03-23 22:37:44,620 - 'o'
2023-03-23 22:37:46,237 - 'g'
2023-03-23 22:37:46,432 - Key.shift
2023-03-23 22:37:46,592 - '.'
2023-03-23 22:37:47,137 - 't'
2023-03-23 22:37:47,239 - 'x'
2023-03-23 22:37:47,347 - 't'
2023-03-23 22:37:47,725 - <42>
2023-03-23 22:37:48,157 - Key.enter
2023-03-23 22:37:48,888 - Key.backspace
2023-03-23 22:37:49,137 - Key.enter
2023-03-23 22:59:24,643 - 'v'
2023-03-23 22:59:24,846 - 'i'
2023-03-23 22:59:25,094 - 'n'
2023-03-23 22:59:25,236 - 't'
2023-03-23 22:59:25,398 - 'e'
2023-03-23 22:59:25,558 - 'd'
2023-03-23 22:59:25,729 - Key.enter
2023-03-23 22:59:51,601 - 'b'
2023-03-23 22:59:51,657 - 'a'
2023-03-23 22:59:51,793 - 'r'
2023-03-23 22:59:51,929 - 'b'
2023-03-23 22:59:52,422 - 'o'
2023-03-23 22:59:52,486 - 's'
2023-03-23 22:59:52,573 - 'a'
2023-03-23 22:59:54,238 - 'v'
2023-03-23 22:59:54,335 - 'a'
2023-03-23 22:59:54,665 - 'l'
2023-03-23 22:59:54,734 - 'e'
2023-03-23 22:59:54,930 - 'r'
2023-03-23 22:59:55,116 - 'i'
2023-03-23 22:59:56,962 - 'e'
2023-03-23 22:59:57,512 - '@'
2023-03-23 22:59:58,019 - 'o'
2023-03-23 22:59:58,142 - 'r'
2023-03-23 22:59:58,254 - 'a'
2023-03-23 22:59:58,371 - 'n'
2023-03-23 22:59:58,604 - 'g'
2023-03-23 22:59:58,681 - 'e'
2023-03-23 22:59:58,970 - Key.shift
2023-03-23 22:59:59,206 - '.'
2023-03-23 22:59:59,400 - 'f'
2023-03-23 22:59:59,499 - 'r'
2023-03-23 22:59:59,838 - Key.tab
2023-03-23 23:00:00,702 - Key.shift
2023-03-23 23:00:02,548 - Key.shift
2023-03-23 23:00:40,718 - Key.cmd
2023-03-23 23:00:41,195 - 'p'
2023-03-23 23:00:43,939 - Key.enter
2023-03-23 23:50:45,576 - Key.media_play_pause
2023-03-23 23:52:38,232 - Key.space
2023-03-23 23:54:56,105 - 'c'
2023-03-23 23:54:56,536 - 'n'
2023-03-23 23:54:57,362 - 'a'
2023-03-23 23:54:57,923 - Key.backspace
2023-03-23 23:54:58,072 - Key.backspace
2023-03-23 23:54:58,140 - 'a'
2023-03-23 23:54:59,100 - 'n'
2023-03-23 23:54:59,389 - 'v'
2023-03-23 23:54:59,571 - 'a'
2023-03-23 23:54:59,759 - 's'
2023-03-23 23:56:16,918 - Key.backspace
2023-03-23 23:56:24,451 - Key.backspace
2023-03-23 23:56:25,103 - Key.enter
2023-03-24 00:00:20,376 - Key.shift
2023-03-24 00:00:20,664 - '5'
2023-03-24 00:00:20,844 - '1'
2023-03-24 00:00:21,639 - '3'
2023-03-24 00:00:21,895 - '6'
2023-03-24 00:00:23,565 - Key.space
2023-03-24 00:00:23,655 - Key.shift
2023-03-24 00:00:24,131 - '4'
2023-03-24 00:00:24,595 - '0'
2023-03-24 00:00:24,935 - '5'
2023-03-24 00:00:25,387 - '0'
2023-03-24 00:00:26,161 - Key.space
2023-03-24 00:00:26,221 - Key.shift
2023-03-24 00:00:26,729 - '0'
2023-03-24 00:00:27,190 - '6'
2023-03-24 00:00:28,521 - '4'
2023-03-24 00:00:29,833 - '3'
2023-03-24 00:00:32,003 - Key.space
2023-03-24 00:00:32,114 - Key.shift
2023-03-24 00:00:32,946 - '7'
2023-03-24 00:00:33,162 - '6'
2023-03-24 00:00:34,442 - '7'
2023-03-24 00:00:34,922 - '4'
2023-03-24 00:00:37,373 - Key.shift
2023-03-24 00:00:38,121 - '0'
2023-03-24 00:00:38,372 - '9'
2023-03-24 00:00:38,900 - '/'
2023-03-24 00:00:39,325 - '2'
2023-03-24 00:00:39,600 - '4'
2023-03-24 00:00:41,442 - Key.shift
2023-03-24 00:00:51,923 - Key.shift
2023-03-24 00:00:53,094 - '6'
2023-03-24 00:00:53,358 - '4'
2023-03-24 00:00:53,884 - '9'
2023-03-24 00:03:24,068 - Key.shift
2023-03-24 00:03:24,367 - 'B'
2023-03-24 00:03:24,668 - 'o'
2023-03-24 00:03:24,884 - 'n'
2023-03-24 00:03:25,040 - 's'
2023-03-24 00:03:25,197 - 'o'
2023-03-24 00:03:25,352 - 'i'
2023-03-24 00:03:25,770 - 'r'
2023-03-24 00:03:26,478 - ','
2023-03-24 00:03:26,924 - Key.backspace
2023-03-24 00:03:27,192 - Key.space
2023-03-24 00:03:27,407 - 'm'
2023-03-24 00:03:27,807 - Key.backspace
2023-03-24 00:03:27,997 - Key.shift
2023-03-24 00:03:28,317 - 'M'
2023-03-24 00:03:28,510 - 'a'
2023-03-24 00:03:29,440 - 'x'
2023-03-24 00:03:29,557 - 'i'
2023-03-24 00:03:29,786 - 'm'
2023-03-24 00:03:29,967 - 'e'
2023-03-24 00:03:30,556 - ','
2023-03-24 00:03:30,918 - Key.enter
2023-03-24 00:03:31,185 - Key.enter
2023-03-24 00:03:33,600 - 'c'
2023-03-24 00:03:34,415 - 'o'
2023-03-24 00:03:34,680 - 'm'
2023-03-24 00:03:34,853 - 'm'
2023-03-24 00:03:35,476 - 'e'
2023-03-24 00:03:36,317 - Key.space
2023-03-24 00:03:36,478 - 'c'
2023-03-24 00:03:36,689 - 'o'
2023-03-24 00:03:36,952 - 'n'
2023-03-24 00:03:37,211 - 'v'
2023-03-24 00:03:37,339 - 'e'
2023-03-24 00:03:37,479 - 'n'
2023-03-24 00:03:38,053 - 'u'
2023-03-24 00:03:38,197 - 'e'
2023-03-24 00:03:39,661 - Key.space
2023-03-24 00:03:39,805 - 'j'
2023-03-24 00:03:39,904 - 'e'
2023-03-24 00:03:40,168 - Key.space
2023-03-24 00:03:40,531 - 'v'
2023-03-24 00:03:40,728 - 'o'
2023-03-24 00:03:40,970 - 'u'
2023-03-24 00:03:41,095 - 's'
2023-03-24 00:03:41,536 - Key.space
2023-03-24 00:03:41,718 - 'j'
2023-03-24 00:03:41,953 - 'o'
2023-03-24 00:03:42,116 - 'i'
2023-03-24 00:03:42,374 - 'n'
2023-03-24 00:03:45,522 - Key.backspace
2023-03-24 00:03:45,674 - Key.backspace
2023-03-24 00:03:45,804 - Key.backspace
2023-03-24 00:03:45,931 - Key.backspace
2023-03-24 00:03:46,554 - 't'
2023-03-24 00:03:46,731 - 'r'
2023-03-24 00:03:46,870 - 'a'
2023-03-24 00:03:47,082 - 'n'
2023-03-24 00:03:47,442 - 's'
2023-03-24 00:03:48,110 - 'm'
2023-03-24 00:03:48,286 - 'e'
2023-03-24 00:03:48,662 - 't'
2023-03-24 00:03:49,728 - 's'
2023-03-24 00:03:50,998 - Key.backspace
2023-03-24 00:03:52,244 - Key.space
2023-03-24 00:03:52,402 - 'l'
2023-03-24 00:03:52,493 - 'e'
2023-03-24 00:03:52,698 - Key.space
2023-03-24 00:03:53,105 - Key.shift
2023-03-24 00:03:53,233 - 'C'
2023-03-24 00:03:53,413 - 'V'
2023-03-24 00:03:53,996 - Key.space
2023-03-24 00:03:54,093 - 'a'
2023-03-24 00:03:54,285 - 'i'
2023-03-24 00:03:54,448 - 'n'
2023-03-24 00:03:54,556 - 's'
2023-03-24 00:03:54,816 - Key.space
2023-03-24 00:03:54,955 - 'q'
2023-03-24 00:03:55,180 - 'u'
2023-03-24 00:03:55,335 - 'e'
2023-03-24 00:03:55,415 - 'e'
2023-03-24 00:03:55,625 - Key.space
2023-03-24 00:03:55,652 - 'l'
2023-03-24 00:03:56,403 - Key.backspace
2023-03-24 00:03:56,546 - Key.backspace
2023-03-24 00:03:56,677 - Key.backspace
2023-03-24 00:03:57,321 - Key.space
2023-03-24 00:03:57,490 - 'l'
2023-03-24 00:03:57,577 - 'a'
2023-03-24 00:03:57,780 - Key.space
2023-03-24 00:03:57,908 - 'p'
2023-03-24 00:03:58,007 - 'a'
2023-03-24 00:03:58,495 - 'g'
2023-03-24 00:03:58,637 - 'e'
2023-03-24 00:03:59,015 - Key.space
2023-03-24 00:03:59,313 - 'l'
2023-03-24 00:03:59,550 - 'i'
2023-03-24 00:03:59,751 - 'n'
2023-03-24 00:03:59,954 - 'k'
2023-03-24 00:04:00,084 - 'e'
2023-03-24 00:04:00,270 - 'd'
2023-03-24 00:04:00,451 - 'i'
2023-03-24 00:04:00,699 - 'n'
2023-03-24 00:04:01,259 - Key.shift
2023-03-24 00:04:01,480 - '.'
2023-03-24 00:05:06,446 - Key.left
2023-03-24 00:05:06,600 - Key.left
2023-03-24 00:05:06,731 - Key.left
2023-03-24 00:05:06,876 - Key.left
2023-03-24 00:05:07,458 - Key.right
2023-03-24 00:05:07,710 - Key.right
2023-03-24 00:05:07,860 - Key.right
2023-03-24 00:05:08,003 - Key.right
2023-03-24 00:05:08,845 - Key.backspace
2023-03-24 00:05:08,931 - Key.shift
2023-03-24 00:05:09,085 - '_'
2023-03-24 00:05:10,799 - Key.enter
2023-03-24 00:06:34,405 - 'l'
2023-03-24 00:06:34,655 - 'i'
2023-03-24 00:06:34,848 - 'n'
2023-03-24 00:06:35,318 - Key.enter
2023-03-24 00:06:42,058 - Key.cmd
2023-03-24 00:06:42,190 - 'c'
2023-03-24 00:06:42,399 - 'c'
2023-03-24 00:06:42,526 - 'c'
2023-03-24 00:06:42,678 - 'c'
2023-03-24 00:06:42,850 - 'c'
2023-03-24 00:06:43,002 - 'c'
2023-03-24 00:06:43,158 - 'c'
2023-03-24 00:06:47,479 - Key.cmd
2023-03-24 00:06:47,651 - 'v'
2023-03-24 00:06:48,404 - Key.enter
2023-03-24 00:06:58,520 - Key.backspace
2023-03-24 00:07:00,117 - 'z'
2023-03-24 00:07:01,277 - Key.backspace
2023-03-24 00:07:01,361 - 's'
2023-03-24 00:07:09,757 - 'c'
2023-03-24 00:07:09,944 - 'o'
2023-03-24 00:07:10,135 - 'm'
2023-03-24 00:07:10,397 - 'e'
2023-03-24 00:07:11,043 - Key.backspace
2023-03-24 00:07:11,413 - 'm'
2023-03-24 00:07:11,557 - 'e'
2023-03-24 00:07:12,096 - Key.backspace
2023-03-24 00:07:12,243 - Key.backspace
2023-03-24 00:07:12,681 - Key.backspace
2023-03-24 00:07:12,979 - 'm'
2023-03-24 00:07:13,129 - 'e'
2023-03-24 00:07:13,918 - Key.space
2023-03-24 00:07:14,117 - 'c'
2023-03-24 00:07:14,304 - 'o'
2023-03-24 00:07:14,598 - 'n'
2023-03-24 00:07:14,860 - 'v'
2023-03-24 00:07:14,949 - 'v'
2023-03-24 00:07:15,001 - 'e'
2023-03-24 00:07:19,742 - Key.space
2023-03-24 00:07:20,380 - 'j'
2023-03-24 00:07:20,496 - 'e'
2023-03-24 00:07:20,723 - Key.space
2023-03-24 00:07:20,973 - 'v'
2023-03-24 00:08:30,927 - 'm'
2023-03-24 00:08:31,149 - 'a'
2023-03-24 00:08:31,315 - 'r'
2023-03-24 00:08:31,662 - Key.backspace
2023-03-24 00:08:31,807 - Key.backspace
2023-03-24 00:08:31,918 - Key.backspace
2023-03-24 00:08:32,044 - Key.backspace
2023-03-24 00:08:32,177 - Key.backspace
2023-03-24 00:08:32,286 - Key.backspace
2023-03-24 00:13:14,516 - 's'
2023-03-24 00:13:14,635 - 'a'
2023-03-24 00:13:14,897 - 'm'
2023-03-24 00:13:16,287 - Key.shift
2023-03-24 00:13:16,458 - '.'
2023-03-24 00:13:17,098 - 'b'
2023-03-24 00:13:17,154 - 'a'
2023-03-24 00:13:17,311 - 'r'
2023-03-24 00:13:17,474 - 'b'
2023-03-24 00:13:18,012 - 'o'
2023-03-24 00:13:18,104 - 's'
2023-03-24 00:13:18,212 - 'a'
2023-03-24 00:13:18,835 - '@'
2023-03-24 00:13:19,137 - 'o'
2023-03-24 00:13:19,645 - 't'
2023-03-24 00:13:19,833 - 'e'
2023-03-24 00:13:20,366 - 'r'
2023-03-24 00:13:20,650 - 'i'
2023-03-24 00:13:20,836 - 'a'
2023-03-24 00:13:21,334 - Key.shift
2023-03-24 00:13:21,569 - '.'
2023-03-24 00:13:21,807 - 'f'
2023-03-24 00:13:21,930 - 'r'
2023-03-24 00:14:41,385 - 's'
2023-03-24 00:14:41,457 - 'a'
2023-03-24 00:14:41,651 - 'm'
2023-03-24 00:14:42,147 - Key.shift
